Date,FC,Reference ID,Fee Type,Notes,Store Order ID,GST Rate,Amount,GST,Total (incl. GST)
01/05/26 04:02:56,Twin Lakes (WI),334294264,Shipping,CR000468858920,516885,0%,$ 5.82,$ 0,$ 5.82
01/05/26 04:03:01,Ontario 6 (CA),334432010,Shipping,1834830266,517111,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:03:50,Twin Lakes (WI),334303958,Shipping,CR000468836140,516899,0%,$ 5.82,$ 0,$ 5.82
01/05/26 04:03:51,Twin Lakes (WI),334395102,Shipping,CR000468836138,517053,0%,$ 7.86,$ 0,$ 7.86
01/05/26 04:03:52,Ontario 6 (CA),334460267,Shipping,8317905853,517135,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:04:34,Twin Lakes (WI),334361303,Shipping,97d4918556d343fa9,517009,0%,$ 6.58,$ 0,$ 6.58
01/05/26 04:04:40,Twin Lakes (WI),334314497,Shipping,CR000468832082,516919,0%,$ 5.82,$ 0,$ 5.82
01/05/26 04:05:13,Twin Lakes (WI),334552002,Shipping,CR000468832358,517196,0%,$ 7.86,$ 0,$ 7.86
01/05/26 04:05:14,Twin Lakes (WI),334409097,Shipping,CR000468832309,517076,0%,$ 6.21,$ 0,$ 6.21
01/05/26 04:05:28,Twin Lakes (WI),334392821,Shipping,CR000468832198,517047,0%,$ 5.82,$ 0,$ 5.82
01/05/26 04:06:19,Twin Lakes (WI),334419427,Shipping,9200190244541407204772,517091,0%,$ 5.63,$ 0,$ 5.63
01/05/26 04:06:32,Wind Gap 2 (PA),333476821,Shipping,CR000468830677,113150,0%,$ 5.64,$ 0,$ 5.64
01/05/26 04:07:58,Ontario 6 (CA),334340966,Shipping,UUS6152760811292521,516965,0%,$ 6.45,$ 0,$ 6.45
01/05/26 04:08:35,Ontario 6 (CA),334440925,Shipping,TBA327605687551,517122,0%,$ 6.58,$ 0,$ 6.58
01/05/26 04:09:25,Twin Lakes (WI),334300591,Shipping,CR000468816649,516883,0%,$ 5.82,$ 0,$ 5.82
01/05/26 04:09:46,Twin Lakes (WI),334506849,Shipping,8317922303,517150,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:10:17,Twin Lakes (WI),334432761,Shipping,D10017038925278,517112,0%,$ 6.95,$ 0,$ 6.95
01/05/26 04:10:49,Twin Lakes (WI),334406862,Shipping,9261290318421409731846,517073,0%,$ 7.02,$ 0,$ 7.02
01/05/26 04:11:19,Twin Lakes (WI),334402577,Shipping,CR000468812765,517066,0%,$ 6.6,$ 0,$ 6.6
01/05/26 04:11:44,Twin Lakes (WI),334441015,Shipping,D10017038930045,517123,0%,$ 8.09,$ 0,$ 8.09
01/05/26 04:13:35,Twin Lakes (WI),334445046,Shipping,CR000468810341,517117,0%,$ 7.51,$ 0,$ 7.51
01/05/26 04:13:50,Twin Lakes (WI),334393196,Shipping,420325789261290336138559828239,517048,0%,$ 5.69,$ 0,$ 5.69
01/05/26 04:14:55,Twin Lakes (WI),334390333,Shipping,CR000468815105,517032,0%,$ 7.51,$ 0,$ 7.51
01/05/26 04:14:56,Twin Lakes (WI),334394662,Shipping,CR000468815578,517051,0%,$ 5.69,$ 0,$ 5.69
01/05/26 04:16:03,Twin Lakes (WI),334531604,Shipping,CR000468818724,517170,0%,$ 5.62,$ 0,$ 5.62
01/05/26 04:16:15,Twin Lakes (WI),334312792,Shipping,9200190244541407206479,516916,0%,$ 6.56,$ 0,$ 6.56
01/05/26 04:16:58,Twin Lakes (WI),334389809,Shipping,CR000468821558,517044,0%,$ 5.97,$ 0,$ 5.97
01/05/26 04:17:15,Twin Lakes (WI),334410103,Shipping,CR000468822840,517079,0%,$ 6.07,$ 0,$ 6.07
01/05/26 04:17:28,Twin Lakes (WI),334406083,Shipping,CR000468822680,517070,0%,$ 6.13,$ 0,$ 6.13
01/05/26 04:18:41,Twin Lakes (WI),334406981,Shipping,BTPA02760T3I7YD,517074,0%,$ 6.3,$ 0,$ 6.3
01/05/26 04:19:52,Twin Lakes (WI),334439575,Shipping,CR000468823922,517120,0%,$ 6.22,$ 0,$ 6.22
01/05/26 04:20:47,Twin Lakes (WI),334475971,Shipping,CR000468827253,517142,0%,$ 6.22,$ 0,$ 6.22
01/05/26 04:21:37,Twin Lakes (WI),334321480,Shipping,CR000468820162,516920,0%,$ 6.47,$ 0,$ 6.47
01/05/26 04:22:16,Twin Lakes (WI),334445446,Shipping,CR000468825916,517131,0%,$ 7.51,$ 0,$ 7.51
01/05/26 04:22:37,Twin Lakes (WI),334318897,Shipping,D10017038971213,516925,0%,$ 6.84,$ 0,$ 6.84
01/05/26 04:23:09,Twin Lakes (WI),334322718,Shipping,CR000468829905,516935,0%,$ 6.87,$ 0,$ 6.87
01/05/26 04:24:31,Twin Lakes (WI),334486748,Shipping,CR000468881358,517145,0%,$ 7.85,$ 0,$ 7.85
01/05/26 04:24:47,Twin Lakes (WI),334535096,Shipping,9200190244541407208251,517176,0%,$ 6.69,$ 0,$ 6.69
01/05/26 04:27:05,Twin Lakes (WI),334522473,Shipping,CR000468884239,517158,0%,$ 5.97,$ 0,$ 5.97
01/05/26 04:28:03,Twin Lakes (WI),334403799,Shipping,CR000468883574,517068,0%,$ 5.97,$ 0,$ 5.97
01/05/26 04:29:44,Twin Lakes (WI),334542673,Shipping,CR000468885697,517178,0%,$ 5.99,$ 0,$ 5.99
01/05/26 04:30:24,Twin Lakes (WI),334536043,Shipping,1834902123,517177,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:30:38,Twin Lakes (WI),334542743,Shipping,1834902860,517183,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:31:41,Twin Lakes (WI),334543212,Shipping,1834905811,517184,0%,$ 3.95,$ 0,$ 3.95
01/05/26 04:33:13,Twin Lakes (WI),334390922,Shipping,9200190244541407209586,517045,0%,$ 6.07,$ 0,$ 6.07
